user_id,signup_date,first_touch_channel
1,2025-09-07,email
2,2025-09-15,affiliate
3,2025-09-11,display
4,2025-09-27,display
5,2025-09-18,social
6,2025-09-22,social
7,2025-09-13,social
8,2025-09-21,email
9,2025-09-09,search
10,2025-09-06,display
11,2025-09-04,social
12,2025-09-10,affiliate
13,2025-09-19,affiliate
14,2025-09-30,social
15,2025-09-25,search
16,2025-09-29,social
17,2025-09-15,social
18,2025-09-13,display
19,2025-09-12,search
20,2025-09-20,display
21,2025-09-28,email
22,2025-09-22,display
23,2025-09-17,social
24,2025-09-18,search
25,2025-09-28,search
26,2025-09-22,affiliate
27,2025-09-23,email
28,2025-09-12,search
29,2025-09-13,affiliate
30,2025-09-12,display
31,2025-09-26,social
32,2025-09-19,email
33,2025-09-12,display
34,2025-09-07,social
35,2025-09-24,search
36,2025-09-12,affiliate
37,2025-09-15,email
38,2025-10-01,affiliate
39,2025-09-12,email
40,2025-09-17,email
41,2025-09-07,social
42,2025-09-20,email
43,2025-09-23,affiliate
44,2025-09-25,search
45,2025-09-25,email
46,2025-09-21,display
47,2025-09-04,email
48,2025-09-18,social
49,2025-09-18,email
50,2025-10-01,search
51,2025-09-10,email
52,2025-09-20,email
53,2025-09-29,display
54,2025-09-23,display
55,2025-09-22,social
56,2025-09-18,social
57,2025-09-07,social
58,2025-09-16,affiliate
59,2025-09-12,search
60,2025-09-03,email
61,2025-10-01,email
62,2025-09-15,social
63,2025-09-10,affiliate
64,2025-09-19,email
65,2025-10-01,email
66,2025-09-09,email
67,2025-09-13,email
68,2025-09-10,affiliate
69,2025-09-28,search
70,2025-09-24,affiliate
71,2025-09-06,email
72,2025-09-21,affiliate
73,2025-09-11,social
74,2025-09-10,display
75,2025-09-25,email
76,2025-09-22,social
77,2025-09-22,affiliate
78,2025-09-20,display
79,2025-09-03,search
80,2025-09-18,email
81,2025-09-23,display
82,2025-09-22,social
83,2025-09-11,affiliate
84,2025-09-22,display
85,2025-10-01,display
86,2025-09-27,social
87,2025-09-08,search
88,2025-09-20,display
89,2025-09-25,email
90,2025-09-05,social
91,2025-09-29,display
92,2025-09-08,display
93,2025-09-02,display
94,2025-09-21,affiliate
95,2025-09-03,affiliate
96,2025-09-02,affiliate
97,2025-09-30,affiliate
98,2025-09-03,social
99,2025-09-22,display
100,2025-09-06,affiliate
101,2025-09-19,affiliate
102,2025-09-07,social
103,2025-09-28,affiliate
104,2025-09-30,display
